QUESTION,BT LEVEL
Define briefly the role of marketing in advertising effectiveness. ,Knowledge
The design rules are usually described in TWO (2) ways. Describe these TWO (2) ways. ,Comprehension
Recommend a suitable admixture to increase the workability of concrete and explain how it functions. ,Evaluation
State the TWO biological isoprene building blocks and the enzyme involved in synthesising the precursor. ,Comprehension
JSP Technology is meant to replace Servlet Technology. Justify  to  what extent the statement is true.,Evaluation
Explain THREE (3) data collection challenges in advertising research.,Comprehension
Elaborate in general how construction industry is managed by the government and in detail how a government strategy to improve the industry can be delivered effectively.,Comprehension
Draw a production possibility curve to show the combination of flats and houses which could be achieved on the site. ,Application
Develop a menu for a new healthy foods restaurant,Synthesis
Identify the key points in the text ,Comprehension
Do you think that this statement conveys the idea that i am trying to portray,Evaluation
Explain why the intrinsic carrier concentration of Ge is higher than Si at T = 300 K. ,Comprehension
Can you compare your . . . with that presented in . . .?,Analysis
"If notes are available on the professor’s website, how should those notes be used?",Application
Explain k-means and k-medoids methods in the respect of robustness in the context of clustering analysis.,Comprehension
Can you defend your position about ... ?,Evaluation
Determine the percentage of DHT's assets committed to inventory. ,Application
Describe the challenges in global advertising. ,Knowledge
"Advise the five steps, as recommended by Porter and Millar, that can be applied by business managers in taking advantage of information technology.",Synthesis
Identify TWO (2) strategies that are able to reduce the likelihood of an eyewitness reporting someone who did not commit the crime. ,Analysis
Name the THREE types of land application of wastewater. ,Knowledge
Explain how the future of social media can be explained by Web 3.0.  ,Comprehension
The major constituent of palm oil is triglyceride. Describe TWO reactions of triglyceride which could affect the quality of vegetable oils.,Comprehension
Can you discriminate the difference parts . . . ? ,Analysis
Appraise the speech's effectiveness based upon the class' criteria.,Evaluation
Distinguish between ‘land surveyor' and 'quantity surveyor'.,Analysis
Define Put-Call Parity and express it in equation. ,Comprehension
Illustrate each of these situations with TWO (2) real-life examples.  ,Comprehension
Differentiate between Market Economy and Planned Economy.,Analysis
Describe ANY FIVE (5) possible scenarios of the project failure.,Knowledge
Apply SWOT analysis in education environment and discuss its impact in the revenue analysis.,Application
Name and briefly discuss the EIGHT (8) documents used in the purchase and cash disbursement process of a company. ,Comprehension
Cost benefit analysis is a process that helps management determine whether (and by how much) the benefits exceed costs. Briefly explain FOUR (4) intangible benefits. ,Comprehension
Select the most effective solution.,Evaluation
"Recite the poem ""Auto Wreck"".",Knowledge
What do you think about . . .?,Evaluation
Differentiate between data and information using examples.,Analysis
Describe what happens during the negative feedback loop of thermoregulation. ,Comprehension
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",Analysis
Highlight the important issues discussed in Greenbury Report 1995. ,Comprehension
Differentiate between soil fertility and soil productivity. ,Analysis
"Microbiota-based models may be an alternative method to facilitate the use of data on the gut microbiota in certain diseases. For example, NextSeq 550 and NextSeq 550DX platforms have been used to detect gut microbiota in non communicable diseases. Compare and contrast both platforms with regards to their regulatory status, key applications and array scanning.",Analysis
How would you investigate this abnormality,Analysis
Malaysian Code on Corporate Governance (2012) stipulates that there should  not be any domination of power by any individual in the board. Responsibilities of the CEO and the Chairperson must be clearly defined and separated in order to ensure a balance of power and authority. Evaluate the advantages and disadvantages of CEO duality.,Evaluation
Apply Porter's five competitive forces analysis to examine the summer job industry for your uncle.,Application
Explain what a poem means.,Comprehension
"Discuss why physical weathering is more prevalent in dry, cool regions while chemical weathering is more prevalent in wet, hot regions. ",Comprehension
Paraphrase an important speech,Comprehension
List two local variables in the main function,Knowledge
"Write a formula to show the steady state assumption. If all other conditions remain identical, explain how an increase in k-1 would affect the Michaelis constant.",Application
Describe THREE (3) advantages of the banker's acceptance towards either exporter or importer. ,Knowledge
Propose  an  e-commerce  classification  model  that  suits the  needs  of  John's business. Justify your answer.,Evaluation
How many ways can you . . .?,Synthesis
Can you propose an alternative plan to . . . ?,Synthesis
State the differences between invention and innovation.,Comprehension
What criteria would you use to assess...? ,Evaluation
Demonstrate how your unit’s specific student learning outcomes are linked to the mission of UAM.,Application
Differentiate between the following terms along with appropriate examples,Analysis
Critically analyze the image above and discuss the strategic decisions associated with the appeals of the advertisement.,Analysis
"Your advice has been sought to settle the following dispute in Company X. Referring to appropriate legal principles, write a short report advising the company on the best course of action to adopt.",Evaluation
Explain why contango and backwardation happen in the commodity market. ,Comprehension
"In a two-column table, list FIVE (5) tools used in the technology-integrated instruction and the traditional instruction respectively.",Knowledge
"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",Evaluation
Describe dynamic load balancing using centralised work pool approach.,Comprehension
Explain FOUR (4) criteria of instructional materials by Tomlinson (2001). ,Comprehension
Criticize the issues in Principal – Agent Theory.,Analysis
Examine differences between the means of each individual switching factor.,Analysis
How would you have handled . . .?,Evaluation
Create and perform a play about frogs.,Synthesis
"Using information from the book about one of the main characters, rewrite the ending of the book.",Synthesis
List out FIVE (5) ways how manufacturing and service companies have commitment toward the environmental friendly practices. ,Knowledge
Provide the equations for the Eadie-Hofstee and Hanes-Woolf plot. Explain how these equations could be derived from the Michaelis-Menten equation. ,Application
Suggest THREE (3) specific types of application software  that  may help to  support James's business activities. ,Synthesis
Justify whether the dam and sire are inbred or outbred. ,Evaluation
Discuss the significance of human genome project. ,Comprehension
Discuss Individualism vs. Collectivism in Hofstede's Dimensions of Culture. ,Comprehension
The internet is ideal for gathering people from all corners of the globe into communities with similar interests and tasks. Recommend THREE (3) ways that can be used to target online communities. ,Synthesis
Currently the product life cycle for Apple iPod is in the 'growth stage'. Provide evidence to support your answer.,Evaluation
Elaborate FIVE (5) factors that will influence the demand and supply of a currency. ,Comprehension
Classify information systems based on the support IS can provide.,Comprehension
How to construct the selected information system,Application
State TWO (2) advantages of continuous bioreactors over batch bioreactors.,Knowledge
Explain the usage of multimedia in healthcare.,Application
Examine how e-commerce facilitates Value Chain and Supply Chain.,Analysis
Explain TWO (2) defects which are usually occur on the surface of finished concrete.,Comprehension
Was Hemingway a great American writer? First you will need to define greatness.,Evaluation
Judge how well a project meets the criteria of a rubric.,Evaluation
Explain and justify a new budget.,Evaluation
Restate main idea of story in own words.,Comprehension
Use philanthropy approach to manage corporate social responsibility effectively.,Application
Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,Application
“Technology has aided manufacturing and service companies in inventory management.' Justify the statement. ,Evaluation
"Media planners want both effective and efficient media buys. In your role as a new media planner of a digital marketing agency, explain how would you know you have made an effective advertising buy over the internet. ",Comprehension
Institutional shareholders do not always fare better than the minority shareholders in promoting shareholder activism. Assess the impediments of institutional shareholder activism. ,Evaluation
State the rule for using a semicolon in a sentence.,Knowledge
How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?,Synthesis
Explain with appropriate examples how taxonomies would help analysis of items in market basket analysis.,Application
Define the term project in the context of project management.,Knowledge
Explain the reasons of using application servers to deploy web applications.,Comprehension
Synthesize any FIVE (5) factors that  should be considered  when  devising a safe system to undertake a task in an organization.,Synthesis
"Discuss in detail the Sharpe, Treynor, and Jensen measures of portfolio performance evaluation, by identifying the situations in which each measure is the most appropriate measure. ",Application
Name the property that states that,Knowledge
Define knowledge and provide an example of knowledge produced by a vehicle management system.,Knowledge
Identify  any THREE  (3) practical  examples  for partial  views  of innovation and discuss the consequences for each of the example.,Comprehension
Discuss the advantages of FinFETS over planar MOSFETs. ,Comprehension
Distinguish central and peripheral routes to information processing. Support your answer with TWO (2) relevant examples. Elaborate your examples in details. ,Evaluation
Explain the anti-advertising consumer organizations culture. ,Comprehension
Compare two of the characters in this book.,Analysis
Cloud computing evolved from earlier technologies. State them.,Knowledge
Daniel Kahneman and Amos Tversky believe that many stock investors are far from fully rational. Explain FOUR (4) common factors that create irrational market behavior. ,Comprehension
"New issues are called primary issues, that reflect to the first issued of security in the primary market. Elaborate the steps of bringing a new security to the market. ",Comprehension
What would happen if . . .?,Synthesis
Write a set of rules to prevent what happened in the story.,Synthesis
when was the first airport in the yemen built,Knowledge
Elaborate ONE (1) scenario where text would be more effective than audio and ONE (1) scenario where audio would be more effective than text in the passing out of data. Explain your answer.,Comprehension
Rewrite the following if statement using a switch statement.,Application
Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4) ,Evaluation
How to combine virtual symmetry and symbolic model checking effectively,Synthesis
Draw and label the typical heat denaturation curves for mesophilic and thermophilic enzymes. ,Comprehension
"Identify the genetic elements in the DNA sequences of Homo sapiens, Homo luzonensis and Homo erectus. Justify your answer. ",Evaluation
Describe color wheel. ,Knowledge
Define graphic design and product design. ,Knowledge
Illustrate  your understanding for oligopoly competition and monopolistic competition using ONE (1) real life example for each.,Comprehension
Rewrite a part in the poem using a different speaker,Comprehension
"Define the designation “Frame = -3"".",Knowledge
"Using an appropriate example, explain how static data can be shared effectively among several web resources.",Comprehension
"Based on your observation of the local newspaper industry, discuss and state your stance on whether gender affects professional news selection.",Evaluation
Justify two (2) lean techniques that work in both the manufacturing and service sectors. ,Evaluation
"With the aid of a diagram, briefly show how the width of a FinFET is estimated.",Application
Describe FIVE (5) limitations of small size construction firms in Malaysia. ,Comprehension
Which of the two liquids is hypotonic ,Knowledge
"Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",Comprehension
List FIVE (5) properties of damp-proof courses. ,Knowledge
Explain  the  concept  of  Customer  Relationship  Management  (CRM).,Comprehension
"Briefly  explain  why  authoring  software  is considered  as  ""high level  tools"" whereas programming languages are known as ""low level tools"".",Comprehension
Draw a picture of the gown Cinderella wore to the ball.,Application
Outline FIVE (5) functional requirements of a floor. ,Comprehension
Identify TWO (2) types of personality that are relevant to aggression. ,Comprehension
Briefly discuss the key segregation of duties that should exist in the traditional manufacturing environment. ,Comprehension
Explain why a less experienced multimedia developer (including non-programmers) always opts for multimedia authoring tools to easily create an interactive application.,Comprehension
"Propose a fertilizer placement method of nitrogen, phosphorus and potassium for a successful fertilization of a large mango tree. Justify your answer. ",Synthesis
"Describe the common structural features of phosphatidylserine, phosphatidylethanolamine, phosphatidylcholine and phosphatidylinositol. State their general function(s). ",Comprehension
"Using Tom Duncan's levels of brand relationship intensity, explain the relationship between Apple iPhone and its customers.",Comprehension
How would you differentiate between heterodox and mainstream,Analysis
Write a poem about the story.,Synthesis
Suggest FOUR (4) recommendations in dealing with intersexes. ,Synthesis
Write a program that uses nested loops to print the following output:,Synthesis
Explain how you would  implement  delete schedule functionality in effective manner.  ,Comprehension
Propose an admixture to increase the workability of concrete in the fresh state without reducing the engineering performance of the hardened concrete. ,Synthesis
Explain each inventory control method and suggest TWO (2) types of products for each method.,Synthesis
How does the law of supply and demand explain the current increase in the price of fruit?,Application
Explain how GST approach can be deployed in the context of Accounting Information System.,Application
What is  your family name,Knowledge
Identify FOUR (4) statements should be avoided by spokesperson as the representative of an organization during a press conference. Elaborate your answer with an example for each statement. ,Comprehension
Compute the area of actual circles.,Application
Illustrate SIX processes that occur in the hydrological cycle. ,Comprehension
Scaffolding is a temporary frame constructed to support a number of platforms at different heights and to provide workers a safe platform from which to work. Name any FOUR (4) types of scaffolding used in construction industry. ,Knowledge
Calculate the deflection of a beam under uniform loading.,Application
Discuss why web developers or programmers would prefer to use Expression Language (EL) compared to other methods in JSP for displaying dynamic content in web browsers.,Analysis
List and briefly describe FOUR (4) types of secondary equity markets. ,Knowledge
Write an explanation about this topic for others,Application
"As an editor-in-chief, suggest how you can motivate your experienced journalists to remain with your paper.",Synthesis
Discuss and show the impact of CRM strategies in the telecommunication sector.,Application
"KOMUGI offers a deliciously authentic variety of handmade Japanese breads, cakes and confectioneries. In 23th December 2017, KOMUGI will launch its first outlets in Perak which will be located in Jusco Kinta City, Ipoh. Your client KOMUGI would like to run a coupon promotion for perakian. Design a creative coupon with catchy messages, slogans and offers to attract the perakian. ",Synthesis
Discuss any THREE (3) ways by which an organization can benefit from e-commerce.,Comprehension
What do you recall ...?,Knowledge
"Illustrate with a labeled drawing the pathway of sulfate assimilation in leaf mesophyll cells. In your answer, describe how sulfate is transported from the root to leaf cells, the energy requirements of sulfate assimilation, and the fate of unassimilated sulfate. ",Comprehension
AJAX is a technology that is being widely used in web applications for faster response time. Explain the necessary steps to implementing an AJAX application.,Application
Explain how Referral Networks approach can be used as a tool to increase number of customers.,Application
"Calculate the surface tension of a wetting liquid, C (1.23 gml-l ) which rises 1.50 m in a vertical capillary tube with the internal radius of 0.15 mm. ",Application
Formulate the profit for the company. ,Synthesis
Define schemas. ,Knowledge
Identify ordinal positions,Knowledge
How might lifestyles in the United States be modified if a more socialistic system were adopted?,Application
In what ways are foxes similar to wolves and dogs,Analysis
Draw and label an Eisenthal-Cornish-Bowden direct plot. Explain how kinetic parameters could be determined from this plot. ,Application
Elaborate the term of national income as used in building economics.,Comprehension
Identify FIVE (5) points on how social media can be utilized by the organization during a crisis. Elaborate your answers with explanation for each point. ,Comprehension
There are a number of factors influencing the productivity of a sector of the economy. Explain accordingly. ,Comprehension
List FIVE (5) types of trick questions.,Knowledge
Compare any FIVE (5) differences between formal networks and informal networks. ,Analysis
Support your views with ONE (1) example for each disadvantage. ,Evaluation
What questions would you ask if . . .?,Application
Describe the basic Qlassic inspection tools used and how they are used to detect the various types of defects for their assessment of quality.,Comprehension
Describe the SEVEN (7) advantages of radio advertising. ,Knowledge
Pretend you are a librarian recommending this book to someone. Write a paragraph telling what  you would say.,Synthesis
Malaysian Code on Corporate Governance (MCCG 2017) encourages Board of Directors to improve shareholders' participations in decision making. Provide recommendations that will lead to more constructive use of Annual General Meeting (AGM). ,Synthesis
Define organizational culture according to Schein (1990). ,Knowledge
"After solving a problem, determine the degree to which the problem was solved as efficiently as possible ",Evaluation
Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,Synthesis
Explain FIVE (5) reasons for the importance of global markets to marketers. ,Comprehension
Recommend how our classroom or playground could be improved.,Evaluation
Autoclave aerated concrete block is gaining popular in high rise construction. Briefly illustrate what are the unique features of the autoclave aerated concrete block. ,Comprehension
How would you justify . . . ?,Evaluation
Briefly describe how poultry sexing is commonly carried out in a hatchery. ,Comprehension
Outline TWO (2) main causes of inflation. ,Comprehension
Briefly describe FOUR common characteristics that are possessed by a wild animal before they could be considered for domestication. ,Comprehension
Explain 3-Tier architecture in the context of Java Web Architecture at server side.,Comprehension
"Appraise the URL Rewriting, Hidden Form Field and Cookies methods which are supported by the technology.",Evaluation
Give TWO (2) examples how intrinsic reliability failure occurs in ICs. ,Comprehension
Give FIVE (5) differences between the bitmapped image  and vector graphics.,Comprehension
What solutions would you suggest for...?,Synthesis
Explain THREE (3) purposes of architectural drawings to architects and other parties in the construction team. ,Comprehension
Devise a new economic system based on the ones that already exist.,Synthesis
Analyze and discuss the challenges and opportunities that social media creates.,Analysis
Create a chart that compares things that use electricity and things that do NOT use electricity.,Synthesis
Briefly explain and draw the structure of dilute foams and concentrated foams. ,Comprehension
Define brand audit.,Knowledge
Identify PayPal's business model.,Knowledge
List two reference parameters in the setHour function,Knowledge
Explain the function of International Monetary Fund (IMF). ,Comprehension
"Nancy  intends  to  include  text  for  her  multimedia  presentation.  As a multimedia specialist, provide TWO (2) guidelines to Nancy when working with text.",Knowledge
Evaluate THREE (3) neurocognitive difficulties that may be experienced by people with suicidal-related behaviors. ,Evaluation
E-mail marketing has evolved rapidly alongside the technological growth of the 21st century. Discuss FIVE (5) reasons why e-mail marketing is still a growth area in digital marketing. ,Comprehension
Briefly explain THREE (3) main sources of banks earnings.,Comprehension
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,Evaluation
Develop a questionnaire based on at least FOUR open-ended and FOUR closed-ended questions for the interviews.,Synthesis
Briefly explain any TWO (2) advantages of real time data processing in the sales and cash receipt system. ,Comprehension
"List the three types of RNA involved in the transcription and translation, and briefly explain their functions. ",Comprehension
"How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",Analysis
Examine how conventional newspaper can continue to maintain its circulation with the easy access to alternative information on the web.,Analysis
Draw the market demand and supply curve. ,Comprehension
Design or sketch a marketing strategy for your product using a known strategy as a model.,Application
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,Evaluation
Revise the story and specify the type of audience that would enjoy this book.,Evaluation
Determine which Angus bull is the heaviest. Justify your answer.,Evaluation
Briefly  discuss  on the  difference  between  volatile  and  non-volatile storage.,Comprehension
Describe briefly the experimental flow of fluorescent in situ hybridization (FISH). List THREE of its major applications. ,Comprehension
Assess the appropriateness of an author's conclusions based on the evidence given.,Evaluation
Propose an alternative way to solve …  ,Synthesis
Describe how soil surface roughness affects both water and wind erosion. Suggest ways to increase roughness to reduce erosion. ,Synthesis
Analyse the challenges facing a government in managing the construction economy and suggest the ways to overcome them.,Synthesis
Sketch the Type III isotherm and provide a brief description of its nature and the processes that give rise to the isotherm. ,Application
Revise and process to improve the outcome.,Synthesis
List FOUR (4) general requirements for floor finishes. ,Knowledge
Elaborate the objectives and basic design procedure of the foundation design of a building. ,Comprehension
Explain the importance of visual in a poster design. ,Comprehension
Illustrate the THREE (3) advantages of silicon over germanium. ,Comprehension
State in your own words what the author means when he says,Comprehension
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analysis
Give THREE (3) examples of common uses of standby letter of credit. ,Comprehension
"Briefly describe the properties of wood in terms of density, thermal insulation, chemical resistance and strength. ",Comprehension
Define Information Systems (IS). ,Knowledge
Name the main characters in the story.,Knowledge
Suggest FOUR (4) strategies that facilitate early childhood development from the physiological psychology perspectives. Elaborate your answers with examples. ,Synthesis
What hypotheses can you develop based on the data ? Why ?,Synthesis
"""Investment strategies used by the investors of futures and forward markets help to maintain market efficiency"". Based on the above statement, differentiate THREE (3) main investment strategies used by futures and forward markets' investors. ",Analysis
Briefly discuss why the emergence of the data warehouse phenomenon is causing such interest in the business world.,Comprehension
Discuss the disadvantages of LOCOS. ,Comprehension
List THREE factors in determining economic thresholds for weeds. ,Knowledge
can you devise an explicit formula for,Synthesis
Discuss  ONE  (1) similarity  and  ONE  (1) difference  between  virtual  reality and augmented reality.,Analysis
Interpret FIVE (5) usage of Learning Management System as an emerging technology in the context of teaching and learning.,Comprehension
Suggest FOUR (4) ways logistics service provider such as FedEx practices environmental friendly principles in its operation. ,Synthesis
“The US dollar hit its highest levels in years shortly after Donald Trump won the presidential election in November 2016.” The statement above refers to the strong dollar scenario. Explain the pros and cons under this scenario. ,Analysis
Make a list of facts you learned from the story.,Knowledge
Discuss TWO adverse consequences of using wetlands as recipients of irrigation wastewater. ,Comprehension
List THREE applications of degenerate PCR amplification.,Knowledge
Explain FIVE (5) characteristics of social media. ,Comprehension
Suggest THREE (3) specific types of application software  that  may help to  support James's business activities. ,Synthesis
Identify THREE (3) types of mortar used in wall construction. ,Comprehension
Discuss the factors that you think may have affected the quality of newspapers in Malaysia and identify the key elements for a successful newspaper .,Analysis
Show me how you would check the brake lights are working on this car,Application
Demonstrate the steps involved in setting out of a building foundation and discuss the setting out of purposes. ,Application
Explain three (3) lean techniques that work in both the manufacturing and service sector. ,Comprehension
You are the new online advertising consultant for Loreal Malaysia. Explain to your client SEVEN (7) important paid media metrics in online advertising.,Comprehension
Analyze the causes of infant mortality during and after production. ,Analysis
Discuss FIVE (5) advantages of IBS compared to conventional in situ concrete. ,Comprehension
"After strain modification process, the UTAR002 is found to be unable to excrete the desired enzyme into the medium.  Suggest a proper purification protocol for the recovery of this product.",Synthesis
Describe THREE factors that affect soil aeration. ,Comprehension
Explain any FOUR (4) elements of vertical downward communication. Support your explanation with an example for each element on how they are beneficial to an organization. ,Evaluation
"With reference  to the case, evaluate the similarities  and differences  between  open mindedness and mental models.",Evaluation
"Suppose milk and yogurt are within Sophie's budget and she views yogurt as an inferior good. Using indifference curve and budget line, explain the substitution, income and total effects when the price of yogurt falls. ",Application
Critically discuss the THREE (3) options in handling the international media planning or buying.,Analysis
Leaders  often  face  a  dilemma  because  of  a  perceived  conflict  between  the realm of business and the realm of ethics. Compare the characteristics  of leaders who follow a strict rational  self-interest  approach  with  those  who take an ethical approach.,Analysis
"In all analysis methods, the effects of turbulence have to be modeled unless all the scales of motion are represented explicitly as in Direct Numerical Simulation (DNS). Explain why it is not practical to analyze flows in practical hydraulic engineering by DNS. ",Comprehension
Which technology is used by laser printer,Knowledge
Explain whether using women as sexual objects can grab the viewer's attention and lend to interest to a product or service. ,Comprehension
Explain the causes of historical events,Comprehension
Briefly describe FIVE (5) general types of factors of production.,Comprehension
Analyse the behavior of subsoil of coarse grained non-cohesive soils and fine grained cohesive soils. ,Analysis
Explain the impact of using SendRedirect method in terms of response time.,Comprehension
Examine the two roles and show how newspaper managers can successfully draw a balance between their economic role and social role.   ,Analysis
Indicate whether S2 or S3 is useful for genetic linkage analysis. Justify your answer. ,Evaluation
Name the following conserved amino acids for their corresponding single letter codes: SQYKRECP. ,Knowledge
"Explain how the Utilize technology, media and materials stage in ASSURE model can help creating a more effective teaching and learning environment. ",Comprehension
Propose ONE (1) new local seafood flavor for Manhattan fish market's Malaysian consumers. Describe the need for the new flavor.,Synthesis
Develop a questionnaire based on at least FOUR open-ended and FOUR closed-ended questions for the interviews.,Synthesis
Differentiate between a wholesaler and a retailer.,Analysis
Define standard operating procedures as highlighted.,Knowledge
Explain THREE (3) difficulties in calculating national income accounting. ,Comprehension
recall the supply voltage constraints,Knowledge
Compose a rhythm or put new words to a known melody.,Synthesis
Discuss the procedures of the non-suspended reinforced concrete ground floors construction. ,Comprehension
Managing and engaging stakeholders have gained important grounds in corporate decision making. Provide your justifications for companies to adopt stakeholder model. ,Comprehension
Eukaryotic genome is mostly repetitive DNA and non-coding sequences. Elaborate the statement. ,Comprehension
Identify TWO (2) functions of crisis communication that must be addressed when communicating with internal stakeholder during a crisis. Explain your answer with an exarnple for each function. ,Comprehension
"Analyse the usage of a reading passages to enhance reading and thinking skills for 
Form 4 students with a high proficiency level. ",Analysis
Can you create new and unusual uses for . . .?,Synthesis
Suggest and justify ONE (1) strategy that your company may consider for marketing its products internationally. ,Evaluation
Concisely define what SWOT analysis is and state why it is frequently producing conflicting views.,Comprehension
Recall the main components of the flowchart,Knowledge
Being a technopreneur means dealing with innovation. Define what innovation is and also propose FOUR (4) types of innovations you can have in your organization.,Synthesis
Provide some justifications for the data warehouse architecture that you have chosen in Q2 (a).,Evaluation
Outline the FIVE (5) options marketers have when it comes to Agency Selection. ,Comprehension
Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,Evaluation
State the importance of data generated from a given hydrophobicity plot. Describe the relevant information that can be deduced from the plot generated. ,Comprehension
"One of the biggest challenges in corporate governance is to deal with manipulation of accounting profits. Propose NINE (9) suggestions to the Malaysian regulatory bodies on how to prevent manipulation of accounts. Your recommendations have to be new and must not overlap with the existing Malaysian laws, guidelines and systems. ",Synthesis
"Discuss the adoption issues surrounding Facebook and internet, as well as their implications for e-marketers. ",Comprehension
Suggest and elaborate any TWO (2) efforts or methods that your company may use in order to gain competitive advantage over your competitors.,Synthesis
Analyze the following questionnaire. ,Analysis
Discuss FOUR (4) tactics that can be used by a spokesperson to handle different types of questions from the media. Provide your discussions with an appropriate example for each tactic. ,Comprehension
Complete an analogy (analogy tasks are inference tasks),Comprehension
Devise plans to market or make artwork more valuable.,Synthesis
Determine which Angus bull would produce the heaviest offspring (on average). Justify your answer. ,Evaluation
List SEVEN (7) types of advertising. ,Knowledge
"In a BJT, the width of the base quasineutral region has to be small compared to the minority carrier diffusion length. Explain why this is important ",Comprehension
"Using Nyquist Theorem,  calculate  the  maximum  sampling  rate to avoid aliasing.",Application
Describe alkaloids chemically and how plants use this group of secondary metabolites to protect themselves from herbivores. ,Comprehension
"Japan is operating above the potential output level. As a committee member of central bank, suggest a policy that should be implemented in order to restore Japan's potential output level. Using appropriate diagram(s), explain the effect of the policy on price and unemployment level in short run and long run. ",Synthesis
