vid,cid,subject,text,votes,replies,is_reply,lebel1,lebel2,lebel3
wvXDB9dMdEo,Ugw_K1UUbE4Dg81uJhF4AaABAg.9_E4NqJBURg9_JHFQfe-Tp,math,"Isn't it cheaper to just hold and accumulate?pls, do you work with an expert?",0,,TRUE,irrelevant,irrelevant,irrelevant
HgC1l_6ySkc,UgzFxvWWOved3SUl0DN4AaABAg,math,"Within this subspace, I can pick any two vectors as my eigenvectors, even if they're not orthogonal, can't I?",0,1,FALSE,knowledge,comprehension,evaluation
5RSMLgy06Ew,UgjVkqBFpt8mHXgCoAEC,math,Don't I have to somehow ALSO prove that there is no other possible cases?,0,1,FALSE,irrelevant,irrelevant,irrelevant
YP_B0AapU0c,UgikR8Qrxnmc23gCoAEC,math,21:25 Why are people laughing?,0,4,FALSE,irrelevant,irrelevant,irrelevant
xxpc-HPKN28,UgxCVgE6qXTw0ZH6peR4AaABAg,math,Ever get bored and your like hey what if I learned stats,0,,FALSE,irrelevant,irrelevant,irrelevant
xxpc-HPKN28,Ugy7Lr0EALKvJB4VFcB4AaABAg,math,Who else is here to pass the linkedin tests,0,,FALSE,irrelevant,irrelevant,irrelevant
Tz14rC0XvHI,Ugy0ts9YeRb20xyiIuR4AaABAg,math,"I can see why an integral under a 2d curve is useful to calculate that area if extruded for instance, but what are some practical applications of a line integral over a surface?",0,,FALSE,synthesis,analysis,application
wu8kXZSAp20,UgxhcOYxx9oPCdiD6kR4AaABAg,math,"I cant understand why avg (divf) in D= avg(-u sub t) in D ,then Divf= -u sub t?",0,,FALSE,comprehension,irrelevant,analysis
#NAME?,UgzU3PF1lL4DGyqP5t94AaABAg.8tB8ba9wAdpA2GP90mgTVa,math,Crazy how 5 years later Im in your shoes and using this as last minute studying,0,,TRUE,irrelevant,irrelevant,irrelevant
_Zqcxbjzyxg,UgziDQhy8UNRBBJJ9-Z4AaABAg.8xEXFk006JR9gLX7x7fjYN,math,"@Carl Hansen  Do you seriously not understand that it is a NECESSARY condition, otherwise people can't engage in your hypothetical?",0,,TRUE,analysis,irrelevant,irrelevant
13r9QY6cmjc,UgyFNTfa0KdEzPjHEAh4AaABAg,math,It always shits me how quickly the students clammer to get out of the class.how are you not absolutely dumbfounded by the profundity of what this great man is laying down!!!,0,,FALSE,irrelevant,irrelevant,irrelevant
cdZnhQjJu4I,Ugwx77L5MQi7q_RYjId4AaABAg,math,38:46 Professor: Did I tell you about product of the eigenvalues?,0,1,FALSE,knowledge,irrelevant,irrelevant
eG_aRPy1KVE,Ugw5kSBusx-hwE3Zieh4AaABAg.8gC_E55cnm_9S3ps0UOOBa,math,Are you up to 50% yet?,1,,TRUE,irrelevant,irrelevant,irrelevant
CgfkEUOFAj0,UgzqWKsSq7V_LFbzVL14AaABAg,math,How he related mass-spring systems to matrices?,1,,FALSE,analysis,analysis,analysis
JibVXBElKL0,UgxsPa1Rl0aMwFLGriB4AaABAg,math,Couldn't the commentary at 30:19 about 'quarter' lead to some misunderstanding about cardinality of R^2?,0,,FALSE,analysis,evaluation,analysis
eG_aRPy1KVE,Ugz5WcDmQfhmAxfxtKJ4AaABAg,math,What th heck first question was quite long to thse poor young mind...good professor never give an answer easly...let thme suffer :-),1,,FALSE,irrelevant,irrelevant,irrelevant
TnS8kI_KuJc,UgwCRfZbauFpQ4kx25J4AaABAg.91da-95og259fqXPjACPur,math,This did not age well?,1,,TRUE,irrelevant,irrelevant,irrelevant
TQvxWaQnrqI,UgwdeXuTFc-mlPj7lEN4AaABAg,math,"When prof says let's choose X1=1 at 9:48 and at 11:02, where prof get that 1 actually?",0,1,FALSE,knowledge,irrelevant,irrelevant
VqP2tREMvt0,UgzH-k_P9WlLMDPbcSZ4AaABAg,math,Are you guys talking later about the Ker and Im of a matrix ?,0,,FALSE,irrelevant,irrelevant,irrelevant
rBVi_9qAKTU,Ugxw7Wb08GKRGFN_DVl4AaABAg,math,But the question is still: how do antiderivatives really work?,0,,FALSE,knowledge,irrelevant,comprehension
0MtwqhIwdrI,UgybNUBG9lQaCuHszLR4AaABAg.99voGhFKP849G6eeRes409,math,@dianel.9238 What Q are you talking about?,0,,TRUE,irrelevant,irrelevant,irrelevant
hvJkCMzFiX8,UgzpNeZV0RR8-Zb5lXB4AaABAg,math,3:24 why don't we subtract a times -b^2/4a since its being multiplied by a,1,1,FALSE,comprehension,irrelevant,irrelevant
TuTmC8aOQJE,UgwxjjnABdg-6Iun11J4AaABAg,math,Anyone know some way to get the solutions for the assignments?,0,,FALSE,irrelevant,irrelevant,irrelevant
eG_aRPy1KVE,UgxsE7APBUlrg3zw75l4AaABAg.9MlDWUjRd9m9jZduT0UuK1,math,"Is he hinting that he's worked out something that will fundamentally change how assets are priced/discounted, or something of similar scope and magnitude?",0,,TRUE,analysis,irrelevant,evaluation
VqP2tREMvt0,Ugzpj-S2pdu1HU7iRih4AaABAg,math,"so, one question for anyone expert on this or understands it, how does X = [-F I], becomes [-1 -1 1] in the end?",0,2,FALSE,comprehension,irrelevant,analysis
#NAME?,UgwSf_l6EG15Sp4uI4x4AaABAg,math,idk why people disliked this,0,,FALSE,irrelevant,irrelevant,irrelevant
tM4TDL9Hj8U,UgwfazPERdQtiSPSAr54AaABAg.93wMKT0bIVM9gE8fLgIgOL,math,exactly what I was thinking,1,,TRUE,irrelevant,irrelevant,irrelevant
rBVi_9qAKTU,Ugy_IZijlDHRinDaAAp4AaABAg,math,"Are we there yet, zeno?",0,,FALSE,irrelevant,irrelevant,irrelevant
8o5Cmfpeo6g,UgwpesYWK9VQ1RGBEah4AaABAg,math,"Reasonable questions but feels like ""Bueller?",0,,FALSE,irrelevant,irrelevant,irrelevant
MNU5DT-CDrc,UgwzosY6EeNY2cWDsZt4AaABAg,math,Why didn't dy in place of dx?,0,1,FALSE,irrelevant,irrelevant,irrelevant
z8HKWUWS-lA,UghBQAZk39R2F3gCoAEC,math,How about 'Theory of computation' and 'Intro to Artificial Intelligence'?,3,2,FALSE,irrelevant,irrelevant,knowledge
fy45qX8cUwQ,Ugz5l2eT6SXEgB1iZmJ4AaABAg,math,What if there is a mod,2,,FALSE,irrelevant,irrelevant,irrelevant
#NAME?,Ugx2ZID1CvlCxf2EJuN4AaABAg.97Of45BCS8V9SD5EwHTgVh,math,HOW DO U KNOW THAT?,1,,TRUE,irrelevant,irrelevant,irrelevant
ufgY237M5KQ,UgwlF2FE3fnszsoumRl4AaABAg,phy,How do we know that in which direction we should incline the plane.,0,,FALSE,knowledge,irrelevant,application
BVgemK1Y2wA,UgxKGhCvhR8BDRIvK0h4AaABAg.9Q9GGLT9uQ99XBAYlTGo0_,phy,Do you guys have any account that has subscribed to his channel on Patreon?,0,,TRUE,irrelevant,irrelevant,irrelevant
G1mZutobxDU,Ugx1Qer9g7qazQZeuEF4AaABAg,phy,do you know how to do it the opposite way around?,0,1,FALSE,knowledge,irrelevant,irrelevant
52R61aSWHg0,UgwfQ-Pag-DZzxakAJZ4AaABAg,phy,I take a test tomorrow to qualify for a nuclear power job for the navy.thank you for these teachings!,3,2,FALSE,irrelevant,irrelevant,irrelevant
q1eor6oIuUo,UgxaLbWWAjUCoqdNZH54AaABAg,phy,"how the hell do i find u everywhere, it's like u know everything",0,,FALSE,irrelevant,irrelevant,irrelevant
5uftqyvUKSc,Ugw3Q5UNM9r6Tx5XaBh4AaABAg.9iAZ2cJtQUU9o56SEae3wp,phy,"Out of curiosity, how'd the rest of the semester turn out?",0,,TRUE,irrelevant,irrelevant,irrelevant
g550H4e5FCY,Ugz4a9F78mt4JsVjWOV4AaABAg,phy,"2hrs before  exams, yet understood what was missing, thank you",1,,FALSE,irrelevant,irrelevant,irrelevant
WOEvvHbc240,UgiT6VTCNdHCqngCoAEC,phy,where I can learn to make these kind of animations?????,0,1,FALSE,knowledge,irrelevant,irrelevant
qV4lR9EWGlY,UgwEnwXXwRtJgZjH_tl4AaABAg,phy,Do we call it energy?,0,,FALSE,irrelevant,irrelevant,irrelevant
